,tickers,sector
23,ALLE,Industrials
27,AME,Industrials
35,AOS,Industrials
47,AXON,Industrials
50,BA,Industrials
62,BLDR,Industrials
73,CARR,Industrials
74,CAT,Industrials
86,CHRW,Industrials
95,CMI,Industrials
106,CPRT,Industrials
113,CSX,Industrials
114,CTAS,Industrials
122,DAL,Industrials
126,DE,Industrials
138,DOV,Industrials
151,EFX,Industrials
157,EMR,Industrials
167,ETN,Industrials
173,EXPD,Industrials
178,FAST,Industrials
181,FDX,Industrials
194,GD,Industrials
196,GE,Industrials
199,GEV,Industrials
205,GNRC,Industrials
209,GPN,Industrials
212,GWW,Industrials
220,HII,Industrials
223,HON,Industrials
230,HUBB,Industrials
232,HWM,Industrials
236,IEX,Industrials
245,IR,Industrials
249,ITW,Industrials
251,J,Industrials
252,JBHT,Industrials
254,JCI,Industrials
277,LHX,Industrials
278,LII,Industrials
282,LMT,Industrials
287,LUV,Industrials
295,MAS,Industrials
310,MMM,Industrials
329,NDSN,Industrials
335,NOC,Industrials
338,NSC,Industrials
348,ODFL,Industrials
354,OTIS,Industrials
360,PCAR,Industrials
368,PH,Industrials
375,PNR,Industrials
378,POOL,Industrials
385,PWR,Industrials
395,ROK,Industrials
399,RSG,Industrials
400,RTX,Industrials
409,SNA,Industrials
422,SWK,Industrials
429,TDG,Industrials
449,TT,Industrials
452,TXT,Industrials
454,UAL,Industrials
460,UNP,Industrials
461,UPS,Industrials
462,URI,Industrials
467,VLTO,Industrials
469,VRSK,Industrials
476,WAB,Industrials
485,WM,Industrials
496,XYL,Industrials
